_id.courseId,_id.sectionId,_id.unitId,_id.%_complete,count
39,4,10,90,19
39,4,10,100,18
39,4,4,10,51
39,4,4,20,50
39,4,4,30,48
39,4,4,40,48
39,4,4,50,47
39,4,4,60,45
39,4,4,70,43
39,4,4,80,41
39,4,4,90,40
39,4,4,100,34
39,4,5,10,52
39,4,5,20,49
39,4,5,30,48
39,4,5,40,46
39,4,5,50,46
39,4,5,60,44
39,4,5,70,44
39,4,5,80,44
39,4,5,90,43
39,4,5,100,33
39,5,1,10,41
39,5,1,20,39
39,5,1,30,36
39,5,1,40,35
39,5,1,50,35
39,5,1,60,31
39,5,1,70,31
39,5,1,80,30
39,5,1,90,32
39,5,1,100,21
39,6,1,10,32
39,6,1,20,30
39,6,1,30,27
39,6,1,40,27
39,6,1,50,28
39,6,1,60,27
39,6,1,70,27
39,6,1,80,27
39,6,1,90,27
39,6,1,100,20
43,1,1,10,50
43,1,1,20,47
43,1,1,30,42
43,1,1,40,38
43,1,1,50,38
43,1,1,60,35
43,1,1,70,35
43,1,1,80,35
43,1,1,90,34
43,1,1,100,26
43,2,12,30,13
43,2,12,40,13
43,2,12,50,13
43,2,12,80,13
43,2,12,90,12
43,2,12,100,12
43,2,5,10,20
43,2,5,20,17
43,2,5,30,15
43,2,5,40,17
43,2,5,50,16
43,2,5,60,16
43,2,5,70,16
43,2,5,80,16
43,2,5,90,15
43,2,5,100,13
43,2,8,10,20
43,2,8,20,18
43,2,8,30,18
43,2,8,40,18
43,2,8,50,17
43,2,8,60,17
43,2,8,70,16
43,2,8,80,16
43,2,8,90,16
43,2,8,100,15
43,3,1,10,10
43,3,1,20,10
43,3,1,30,10
43,3,1,40,10
43,3,1,50,10
43,3,1,60,10
43,3,1,70,10
43,3,1,80,10
43,3,1,90,10
43,3,1,100,9
43,3,11,10,10
43,3,11,20,11
43,3,11,30,9
43,3,11,40,9
43,3,11,50,8
43,3,11,60,10
43,3,11,70,10
43,3,11,80,10
43,3,11,90,9
43,3,11,100,9
43,3,14,10,10
43,3,14,20,10
43,3,14,30,10
43,3,14,40,9
43,3,14,50,9
43,3,14,60,9
43,3,14,70,9
43,3,14,80,8
43,3,14,90,8
43,3,14,100,7
43,3,17,10,9
43,3,17,20,8
43,3,17,30,7
43,3,17,40,8
43,3,17,50,9
43,3,17,60,9
43,3,17,70,9
43,3,17,80,9
43,3,17,90,7
43,3,17,100,6
43,3,23,20,6
43,3,23,40,6
43,3,23,50,6
43,3,23,70,6
43,3,23,90,6
43,3,23,100,7
43,4,1,10,9
43,4,1,20,8
43,4,1,30,9
43,4,1,40,9
43,4,1,50,9
43,4,1,60,9
43,4,1,70,9
43,4,1,80,9
43,4,1,90,8
43,4,1,100,7
43,4,12,10,7
43,4,12,20,7
43,4,12,30,7
43,4,12,40,7
43,4,12,50,7
43,4,12,60,8
43,4,12,70,7
43,4,12,80,9
43,4,12,90,8
43,4,12,100,7
43,4,17,10,6
43,4,17,20,6
43,4,17,30,7
43,4,17,40,6
43,4,17,50,7
43,4,17,60,7
43,4,17,70,7
43,4,17,80,8
43,4,17,90,7
43,4,17,100,6
43,4,22,10,7
43,4,22,20,7
43,4,22,30,6
43,4,22,40,7
43,4,22,50,6
43,4,22,60,6
43,4,22,70,6
43,4,22,80,6
43,4,22,90,6
43,4,22,100,6
43,4,4,10,6
43,4,4,20,6
43,4,4,30,6
43,4,4,40,6
43,4,4,50,6
43,4,4,60,6
43,4,4,70,6
43,4,4,80,6
43,4,4,90,6
43,4,4,100,5
43,5,1,10,8
43,5,1,20,8
43,5,1,30,8
43,5,1,40,8
43,5,1,50,8
43,5,1,60,7
43,5,1,70,7
43,5,1,80,7
43,5,1,90,7
43,5,1,100,7
43,5,3,10,6
43,5,3,20,6
43,5,3,30,6
43,5,3,40,6
43,5,3,50,6
43,5,3,60,6
43,5,3,70,6
43,5,3,80,6
43,5,3,90,6
43,5,3,100,5
43,5,5,10,5
